function,count,file,line,type,snippet
fileData,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,19,function,"function fileData(id,cb){var e=q(id),f=e&&e.files&&e.files[0]; if(!f)return cb(''); var r=new FileReader(); r.onload=function(ev){cb(ev.target.result)}; r.readA"
fillFy,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,38,function,"function fillFy(rows,res){var opts=buildFyOptions(rows,res), current=(res&&res.selectedFY)||window.CURRENT_FY_KEY||'ALL'; ['fyFilter','listFyFilter'].forEach(fu"
findBatchDetailsFastV3,1,Code.gs,551,function,function findBatchDetailsFastV3(batchNo) {
findHospitalMasterRow_,1,Code.gs,2753,function,function findHospitalMasterRow_(payload) {
findInvestigationRow_,1,Code.gs,2273,function,function findInvestigationRow_(complaintNo) {
first,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,14,function,function first(){for(var i=0;i<arguments.length;i++){var v=arguments[i]; if(v!==undefined&&v!==null&&String(v).trim()!=='')return v;} return ''}
formatCmsDate_,1,WA.gs,255,function,function formatCmsDate_(value) {
formatDateClientP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,405,function,function formatDateClientP7(v){ if(!v) return ''; var d = new Date(v); return isNaN(d.getTime()) ? String(v) : d.toLocaleDateString('en-GB'); }
formatSafeDate,1,Code.gs,350,function,function formatSafeDate(val) {
fyFromDate,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,36,function,"function fyFromDate(v){var d=new Date(v); if(isNaN(d))return ''; var y=d.getFullYear(), s=(d.getMonth()+1)>=4?y:y-1; return s+'-'+String(s+1).slice(-2)}"
generateCmsComplaintNo_,1,Code.gs,408,function,function generateCmsComplaintNo_(dt) {
generateCmsHospitalId_,1,Code.gs,2734,function,function generateCmsHospitalId_() {
generateComplaintPDF,1,Code.gs,979,function,"function generateComplaintPDF(formData, row, complaintFolder) {"
getActiveInfoRequest_,1,Code.gs,2113,function,function getActiveInfoRequest_(complaintNo) {
getAgeDays_,1,Code.gs,1923,function,function getAgeDays_(dateValue) {
getAllComplaints,1,Code.gs,1542,function,function getAllComplaints() {
getAllowedCmsLifecycleActions,1,Code.gs,1725,function,function getAllowedCmsLifecycleActions(complaintNo) {
getBatchLookupData,1,Code.gs,446,function,function getBatchLookupData(batchNo) {
getCell_,1,WA.gs,218,function,"function getCell_(row, colNo) {"
getCmsAccessPanelDataP6_5,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,67,function,function getCmsAccessPanelDataP6_5() {
getCmsAccessUsers,1,Code.gs,177,function,function getCmsAccessUsers() {
getCmsCapaVersionHistory_,1,Code.gs,2473,function,function getCmsCapaVersionHistory_(complaintNo) {
getCmsClientConfigP5_5,1,Code.gs,2619,function,function getCmsClientConfigP5_5() {
getCmsComplaintAlerts,1,Code.gs,2067,function,function getCmsComplaintAlerts(complaintNo) {
getCmsComplaintHistory,1,Code.gs,1890,function,function getCmsComplaintHistory(complaintNo) {
getCmsComplaintHistoryCore_,1,Code.gs,1895,function,function getCmsComplaintHistoryCore_(complaintNo) {
getCmsComplaintTracking,2,Code.gs,1900,function,function getCmsComplaintTracking(complaintNo) {
getCmsComplaintTracking,2,Code_P6_2_FirestoreStageCapaActions.gs,449,function,function getCmsComplaintTracking(complaintNo) {
getCmsComplaintTrackingCore_,1,Code.gs,1905,function,function getCmsComplaintTrackingCore_(complaintNo) {
getCmsCurrentAccessP6_3,2,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,48,function,function getCmsCurrentAccessP6_3() {
getCmsCurrentAccessP6_3,2,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,207,function,function getCmsCurrentAccessP6_3() {
getCmsCurrentAccessP6_5,1,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,163,function,function getCmsCurrentAccessP6_5() {
getCmsDashboardPayloadP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,44,function,function getCmsDashboardPayloadP7(fy) {
getCmsFastWorkspaceData,4,Code.gs,2906,function,function getCmsFastWorkspaceData(complaintNo) {
getCmsFastWorkspaceData,4,Code_P6_1_FirestoreFastIntegration.gs,10,function,"function getCmsFastWorkspaceData(complaintNo), rename that old function to:"
getCmsFastWorkspaceData,4,Code_P6_1_FirestoreFastIntegration.gs,41,function,function getCmsFastWorkspaceData(complaintNo) {
getCmsFastWorkspaceData,4,Code_P6_2_FirestoreStageCapaActions.gs,129,function,function getCmsFastWorkspaceData(complaintNo) {
getCmsFastWorkspaceDataP6,1,Code_P6_FirestoreBridge.gs.txt,98,function,function getCmsFastWorkspaceDataP6(complaintNo) {
getCmsFastWorkspaceDataP6_1,1,Code_P6_1_FirestoreFastIntegration.gs,45,function,function getCmsFastWorkspaceDataP6_1(complaintNo) {
getCmsFastWorkspaceDataP6_2,1,Code_P6_2_FirestoreStageCapaActions.gs,133,function,function getCmsFastWorkspaceDataP6_2(complaintNo) {
getCmsFastWorkspaceDataP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,67,function,function getCmsFastWorkspaceDataP6_3(complaintNo) {
getCmsFastWorkspaceDataP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,91,function,function getCmsFastWorkspaceDataP6_4(complaintNo) {
getCmsFinancialYearOptions_,1,Code.gs,1860,function,function getCmsFinancialYearOptions_() {
getCmsGoogleHospitalDetails,1,Code.gs,2858,function,function getCmsGoogleHospitalDetails(placeId) {
getCmsGoogleMapsApiKeyStrict_,1,Code.gs,2711,function,function getCmsGoogleMapsApiKeyStrict_() {
getCmsGoogleMapsApiKey_,1,Code.gs,2642,function,function getCmsGoogleMapsApiKey_() {
getCmsHeaderMap_,1,WA.gs,193,function,function getCmsHeaderMap_(headers) {
getCmsHospitalHeaderMap_,1,Code.gs,2723,function,function getCmsHospitalHeaderMap_(sh) {
getCmsHospitalMasterSheet_,1,Code.gs,2717,function,function getCmsHospitalMasterSheet_() {
getCmsInfoRequestModule,1,Code.gs,2145,function,function getCmsInfoRequestModule(complaintNo) {
getCmsInvestigationCapaWorkspace,2,Code.gs,2307,function,function getCmsInvestigationCapaWorkspace(complaintNo) {
getCmsInvestigationCapaWorkspace,2,Code.gs,2524,function,function getCmsInvestigationCapaWorkspace(complaintNo) {
getCmsNotificationRows_,1,Code.gs,2051,function,"function getCmsNotificationRows_(complaintNo, limit) {"
getCmsStageIndex_,1,Code.gs,1632,function,function getCmsStageIndex_(status) {
getCmsStageOwner_,1,Code.gs,1737,function,function getCmsStageOwner_(stage) {
getCmsTrackingData,3,Code.gs,2941,function,"function getCmsTrackingData(fy, statusFilter) {"
getCmsTrackingData,3,Code_P6_2_FirestoreStageCapaActions.gs,43,function,"function getCmsTrackingData(fy, statusFilter) {"
getCmsTrackingData,3,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,31,function,"function getCmsTrackingData(fy, statusFilter) {"
getCmsTrackingDataLegacy,2,Code.gs,1824,function,function getCmsTrackingDataLegacy(fyKey) {
getCmsTrackingDataLegacy,2,Code.gs,2398,function,function getCmsTrackingDataLegacy(fyKey) {
getCmsTrackingDataP6List_,1,Code.gs,2962,function,"function getCmsTrackingDataP6List_(fy, statusFilter) {"
getCmsTrackingDataP6_2,1,Code_P6_2_FirestoreStageCapaActions.gs,53,function,"function getCmsTrackingDataP6_2(fy, statusFilter) {"
getCmsTrackingDataP6_4,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,35,function,"function getCmsTrackingDataP6_4(fy, statusFilter) {"
getCmsTrackingDataP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,71,function,"function getCmsTrackingDataP7(fy, statusFilter) {"
getCmsWorkspaceChatP6_3,1,p63_patch/Code_P6_3_WorkspaceChatAccess.gs,228,function,function getCmsWorkspaceChatP6_3(complaintNo) {
getCmsWorkspaceDataP7,1,p70_patch/ZZZ_Code_P7_0_CmsStabilizationRefactor.gs,104,function,function getCmsWorkspaceDataP7(complaintNo) {
getComplaintHistory,1,Code.gs,1565,function,function getComplaintHistory(complaintNo){
getComplaintLifecycleRecord_,1,Code.gs,1691,function,function getComplaintLifecycleRecord_(complaintNoOrRow) {
getComplaintSheet_,1,Code.gs,300,function,function getComplaintSheet_() {
getComplaintWhatsappRecipients_,1,Code.gs,1142,function,"function getComplaintWhatsappRecipients_(formData, issueWhatsappNumbers) {"
getCurrentIndianFYKey_,1,Code.gs,1843,function,function getCurrentIndianFYKey_() {
getCurrentUserAccess_,1,Code.gs,146,function,function getCurrentUserAccess_() {
getHeaderIndex_,1,Code.gs,438,function,"function getHeaderIndex_(headers, candidates) {"
getHeaderMap_,1,Code.gs,1642,function,function getHeaderMap_(sheet) {
getIndianFYKeyFromDate_,1,Code.gs,1851,function,function getIndianFYKeyFromDate_(value) {
getInfoMessages_,1,Code.gs,2138,function,function getInfoMessages_(requestId) {
getInfoRequestRows_,1,Code.gs,2100,function,function getInfoRequestRows_(complaintNo) {
getIssueRouting_,1,Code.gs,892,function,function getIssueRouting_(issueCategory) {
getItemNamesForBatch,1,Code.gs,511,function,function getItemNamesForBatch(batchNo) {
getMyCmsAccess,2,Code.gs,172,function,function getMyCmsAccess() {
getMyCmsAccess,2,p65_patch/ZZZ_Code_P6_5_UserAccessManagement.gs,211,function,function getMyCmsAccess() {
getNextCapaSequence_,1,Code.gs,873,function,function getNextCapaSequence_(sheet) {
getOrCreateComplaintFolder_,1,Code.gs,925,function,function getOrCreateComplaintFolder_(complaintNo) {
getPincodeDetails,1,Code.gs,804,function,function getPincodeDetails(pincode) {
getPublicComplaintTrackingData_,1,Code.gs,1930,function,function getPublicComplaintTrackingData_(complaintNo) {
getRecipientsForIssue,1,Code.gs,920,function,function getRecipientsForIssue(issueCategory) {
getSession,1,Code.gs,794,function,function getSession() {
getUserAccessByEmail_,1,Code.gs,117,function,function getUserAccessByEmail_(email) {
getWebAppBaseUrl_,1,Code.gs,390,function,function getWebAppBaseUrl_() {
h,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,27,function,"function h(){m.removeEventListener('hidden.bs.modal',h); if(typeof onOk==='function')onOk();}); inst.show();"
hasPermission_,1,Code.gs,155,function,"function hasPermission_(user, moduleName, requiredLevel) {"
heroItem,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,241,function,"function heroItem(label, value){ return '<div><small>'+safe(label)+'</small><b>'+safe(value)+'</b></div>'; }"
hideLoaderP7,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,29,function,function hideLoaderP7(){ var l = byId('loader'); if(l) l.style.display = 'none'; }
include,1,Code.gs,13,function,function include(filename) {
isAdminUser_,1,Code.gs,1638,function,function isAdminUser_(user) {
isOk,1,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,20,function,function isOk(res){ return !!res && (res.status === 'success' || res.ok === true); }
keepCmsSessionAliveP5_5,1,Code.gs,2629,function,function keepCmsSessionAliveP5_5() {
latestCapaRecord_,1,Code.gs,2282,function,function latestCapaRecord_(complaintNo) {
link,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,52,function,"function link(label,url){return url?'<a class=""p64-btn soft"" target=""_blank"" href=""'+esc(url)+'"">'+esc(label)+'</a>':'<button class=""p64-btn secondary"" disabled"
linkBtn,2,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,120,function,"function linkBtn(label,url){return url?'<a class=""p63-btn soft"" target=""_blank"" href=""'+esc(url)+'"">'+esc(label)+'</a>':'<button class=""p63-btn secondary"" disab"
linkBtn,2,p70_patch/CMS_Bootstrap_P7_0_StabilizationRefactor.html,242,function,"function linkBtn(label, url){ return url ? '<a class=""btn-soft"" target=""_blank"" href=""'+safe(url)+'"">'+safe(label)+'</a>' : '<span class=""btn-soft disabled"">'+s"
loader,3,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,33,function,function loader(on){var el=qs('loader'); if(el) el.style.display=on?'flex':'none';}
loader,3,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,17,function,function loader(on){var el=q('loader'); if(el)el.style.display=on?'flex':'none'}
loader,3,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,17,function,function loader(on){var el=q('loader'); if(el)el.style.display=on?'flex':'none'}
markCmsInvestigationCompleteSimple,2,Code.gs,2579,function,"function markCmsInvestigationCompleteSimple(complaintNo, remark) {"
markCmsInvestigationCompleteSimple,2,Code_P6_2_FirestoreStageCapaActions.gs,235,function,"function markCmsInvestigationCompleteSimple(complaintNo, remark) {"
normalizeAccessLevel_,1,Code.gs,40,function,function normalizeAccessLevel_(value) {
normalizeCmsSearchKey_,1,Code.gs,2730,function,function normalizeCmsSearchKey_(v) {
normalizeCmsStatus_,1,Code.gs,1625,function,function normalizeCmsStatus_(status) {
normalizeYesNo_,1,WA.gs,269,function,function normalizeYesNo_(value) {
notify,1,p63_patch/CMS_Bootstrap_P6_3_WorkspaceChatFix.html,34,function,"function notify(title,msg){ if(typeof openNotify==='function') return openNotify(title,msg); alert((title?title+'\n':'')+(msg||'')); }"
notifyErr,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,19,function,function notifyErr(msg){if(window.showError)showError(msg||'Something went wrong');else alert(msg||'Something went wrong')}
notifyOk,1,p65_patch/CMS_Bootstrap_P6_5_UserAccessManagement.html,18,function,function notifyOk(msg){if(window.showSuccess)showSuccess(msg||'Done');else alert(msg||'Done')}
onOpen,2,Testing.gs,25,function,function onOpen() {
onOpen,2,WA.gs,40,function,function onOpen() {
openDev,1,Testing.gs,46,function,function openDev() {
openLive,1,Testing.gs,33,function,function openLive() {
p64AgeDays_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,351,function,function p64AgeDays_(v) {
p64BuildAnalytics_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,322,function,function p64BuildAnalytics_(rows) {
p64BuildCards_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,314,function,function p64BuildCards_(rows) {
p64BuildChatFromInfo_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,292,function,function p64BuildChatFromInfo_(info) {
p64BuildFyOptions_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,336,function,function p64BuildFyOptions_(rows) {
p64BuildSheetComplaintMap_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,225,function,function p64BuildSheetComplaintMap_() {
p64CountsObject_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,334,function,function p64CountsObject_(items) { const o = {}; (items || []).forEach(function(x){ o[x.label] = x.count; }); return o; }
p64First_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,364,function,function p64First_() {
p64FormatDate_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,357,function,function p64FormatDate_(v) {
p64FyKey_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,342,function,function p64FyKey_(v) {
p64NormalizeComplaintRow_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,171,function,"function p64NormalizeComplaintRow_(d, sheet) {"
p64NormalizeInfoState_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,264,function,"function p64NormalizeInfoState_(info, complaintNo) {"
p64Notify,1,p64_patch/CMS_Bootstrap_P6_4_DashboardChatDataFix.html,21,function,"function p64Notify(title,msg,onOk){"
p64PublicTrackingUrl_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,372,function,function p64PublicTrackingUrl_(complaintNo) {
p64ToItems_,1,p64_patch/ZZZ_Code_P6_4_DashboardChatDataFix.gs,333,function,"function p64ToItems_(obj) { return Object.keys(obj || {}).map(function(k){ return { label: k, count: obj[k] }; }); }"
